name,imdb_avg,num,fb_likes
Thomas Kretschmann,7.5,2,1836
Thomas F. Wilson,4.65,2,1380
Thomas Bo Larsen,8.3,1,74
Theo James,6.4,1,5000
The Dalai Lama,7.2,1,66
Teryl Rothery,5.7,1,298
Terry Pheto,7.166666667,3,339
Terry Kiser,5.9,1,448
Terry Funk,7.6,1,54
Teri Polo,5.15,2,1416
Teri Garr,7.4,1,481
Teresa Wright,7.3,1,208
Teo Halm,5.8,1,803
Tenzin Thuthob Tsarong,7,1,2
Temple Grandin,7.4,1,58
Telly Savalas,6.8,1,803
Ted Raimi,7.233333333,3,1902
Ted Danson,6.766666667,3,2625
Taylor Pigeon,6.2,1,134
Taylor Negron,4.3,4,4000
Taylor Lautner,4.6,3,36000
Taylor Cole,5.6,1,969
Tatyana Ali,4.8,1,685
Tatum O'Neal,7.3,1,288
Tatsuo Matsumura,7.5,1,15
Tatiana Suarez-Pico,6.1,1,21
Tate Donovan,7.2,1,650
Tasha Smith,5.1,1,721
Taran Killam,6.3,2,1000
Tanya Roberts,4.8,1,433
Tamsin Egerton,4.5,2,1243
Tammin Sursok,5.3,1,836
Tamara Toumanova,6.7,1,18
Tamannaah Bhatia,8.4,1,218
Talulah Riley,7.8,1,422
Talisa Soto,3.6,1,349
Taliesin Jaffe,7.4,1,26
Talia Zucker,6.1,1,12
Talia Shire,5.4,1,452
Takuya Kimura,5.8,2,168
Takeshi Kaneshiro,7.5,2,1510
Takashi Shimura,8.7,1,304
Tadanobu Asano,7.3,1,627
Ta'Rhonda Jones,7.8,1,912
T.I.,6,1,680
Sylvester Stallone,6.257142857,21,273000
Sydney Pollack,6.5,1,521
Susan Hampshire,7.6,1,40
Susan Chambers,6.8,1,138
Suraj Sharma,8,1,774
Sunny Mabrey,4.3,1,287
Sunil Narkar,6.6,1,34000
Sullivan Stapleton,4.9,1,1000
Stockard Channing,5.95,4,3776
Steven Yeun,7.3,1,7000
Steven Weber,7.3,1,685
Steven Van Zandt,8.1,1,422
Steven Mackintosh,7.7,1,227
Steven Bauer,6,1,636
Steven Anthony Lawrence,4.9,1,1000
Steve Oedekerk,6.2,1,176
