actor_1_name,genres,score,actor_1_facebook_likes,Num
Katie Aselton,Horror|Thriller,4.7,224,1
Julianne Gabert,Horror|Thriller,3.7,252,1
Julianna Guill,Horror|Thriller,4.1,465,1
Judie Aronson,Horror|Thriller,5.9,158,1
Jessica Szohr,Horror|Thriller,6.9,847,1
Jensen Ackles,Horror|Thriller,5.5,10000,1
Jamie Lee Curtis,Horror|Thriller,7.9,6000,3
Isaac Hempstead Wright,Horror|Thriller,6.5,874,1
Gunnar Hansen,Horror|Thriller,6.6,1149,3
Gideon Emery,Horror|Thriller,4.8,430,1
George Newbern,Horror|Thriller,5.3,647,1
Frank Grillo,Horror|Thriller,5.3,798,1
Dov Tiefenbach,Horror|Thriller,6.1,108,1
Donald Pleasence,Horror|Thriller,5.333333333,2226,3
Djimon Hounsou,Horror|Thriller,4.5,3000,1
Daniel Roebuck,Horror|Thriller,6.7,1000,1
Damian Walshe-Howling,Horror|Thriller,5.8,122,1
Chris Zylka,Horror|Thriller,4,963,1
Camren Bicondova,Horror|Thriller,5.5,756,1
Brianna Brown,Horror|Thriller,5.3,331,1
Brendan Fehr,Horror|Thriller,5.3,847,1
Boris Kodjoe,Horror|Thriller,4.6,1000,1
Bojana Novakovic,Horror|Thriller,6.6,2000,1
Benno F?rmann,Horror|Thriller,6.1,127,1
America Olivo,Horror|Thriller,6.1,470,1
Adam Goldberg,Horror|Thriller,5.1,1000,1
Walter Hendrix III,Horror|Sci-Fi|Thriller,4.8,846,1
Tom Skerritt,Horror|Sci-Fi|Thriller,7.2,1000,1
Sean Pertwee,Horror|Sci-Fi|Thriller,6.7,722,1
Sarah Gadon,Horror|Sci-Fi|Thriller,5.7,691,1
Romola Garai,Horror|Sci-Fi|Thriller,5.5,805,1
Robert Forster,Horror|Sci-Fi|Thriller,4.8,889,1
Rhys Wakefield,Horror|Sci-Fi|Thriller,5.7,942,1
Olivia Wilde,Horror|Sci-Fi|Thriller,5.2,10000,1
Melanie Papalia,Horror|Sci-Fi|Thriller,3.9,259,1
Meg Foster,Horror|Sci-Fi|Thriller,7.3,355,1
Marlon Brando,Horror|Sci-Fi|Thriller,4.4,10000,1
Leon,Horror|Sci-Fi|Thriller,3.6,730,1
Jennifer Jason Leigh,Horror|Sci-Fi|Thriller,6.8,1000,1
Jason London,Horror|Sci-Fi|Thriller,4.6,711,1
Glenn Campbell,Horror|Sci-Fi|Thriller,4.2,46,1
Dylan Baker,Horror|Sci-Fi|Thriller,6.3,812,1
Craig T. Nelson,Horror|Sci-Fi|Thriller,5,723,1
Andrew Fiscella,Horror|Sci-Fi|Thriller,6,137000,1
Taylor Pigeon,Horror|Sci-Fi|Short|Thriller,6.2,134,1
Woody Strode,Horror|Sci-Fi,5.9,423,1
Virginia Leith,Horror|Sci-Fi,4.1,24,1
Vin Diesel,Horror|Sci-Fi,7.1,14000,1
Tom Skerritt,Horror|Sci-Fi,8.5,1000,1
Talia Shire,Horror|Sci-Fi,5.4,452,1
Louise Fletcher,Horror|Sci-Fi,5.5,425,1
Jeff Fahey,Horror|Sci-Fi,5.4,535,1
Daniel Stern,Horror|Sci-Fi,5.5,796,1
Catherine Lough Haggquist,Horror|Sci-Fi,2.3,310,1
Bella Thorne,Horror|Romance|Thriller,5.2,35000,1
Melinda Clarke,Horror|Romance|Sci-Fi,5.9,787,1
Tiffany Helm,Horror|Mystery|Thriller,4.7,42,1
Sullivan Stapleton,Horror|Mystery|Thriller,4.9,1000,1
Sissy Spacek,Horror|Mystery|Thriller,5,874,1
Shelley Hennig,Horror|Mystery|Thriller,5.7,707,1
Sarah Michelle Gellar,Horror|Mystery|Thriller,5.9,4000,1
Robert Downey Jr.,Horror|Mystery|Thriller,5.8,21000,1
Olivia Munn,Horror|Mystery|Thriller,6.2,2000,1
Muse Watson,Horror|Mystery|Thriller,5.6,45000,1
Michael Emerson,Horror|Mystery|Thriller,7.7,2000,1
Marley Shelton,Horror|Mystery|Thriller,4.7,690,1
Mackenzie Foy,Horror|Mystery|Thriller,7.5,6000,1
Loretta Devine,Horror|Mystery|Thriller,4.1,912,1
Lauren Cohan,Horror|Mystery|Thriller,6,4000,1
Laila Haley,Horror|Mystery|Thriller,5.2,1000,1
Kathleen Wilhoite,Horror|Mystery|Thriller,5.7,265,1
Johnny Depp,Horror|Mystery|Thriller,6.8,80000,2
Jimmy Bennett,Horror|Mystery|Thriller,7,87000,1
Jeffrey Combs,Horror|Mystery|Thriller,5.6,885,1
Javier Botet,Horror|Mystery|Thriller,7.8,1000,1
Janet Leigh,Horror|Mystery|Thriller,8.5,606,1
James Kyson,Horror|Mystery|Thriller,5.2,449,1
James D'Arcy,Horror|Mystery|Thriller,5.1,613,1
Illeana Douglas,Horror|Mystery|Thriller,7,347,1
Gena Rowlands,Horror|Mystery|Thriller,6.5,545,1
Frank Grillo,Horror|Mystery|Thriller,4.8,1596,2
Eoin Macken,Horror|Mystery|Thriller,4.8,533,1
Bradley Cooper,Horror|Mystery|Thriller,6.2,14000,1
Bojana Novakovic,Horror|Mystery|Thriller,6.3,2000,1
Betsy Palmer,Horror|Mystery|Thriller,6.1,309,1
Ben Feldman,Horror|Mystery|Thriller,6.1,1000,1
Ashley Tramonte,Horror|Mystery|Thriller,4.6,630,1
Alicia Witt,Horror|Mystery|Thriller,5.5,975,1
Alexander Gould,Horror|Mystery|Thriller,4.8,1000,1
Warren Christie,Horror|Mystery|Sci-Fi|Thriller,5.2,520,1
Karra Elejalde,Horror|Mystery|Sci-Fi|Thriller,7.2,123,1
John Kapelos,Horror|Mystery|Sci-Fi|Thriller,5.7,510,1
Jesse McCartney,Horror|Mystery|Sci-Fi|Thriller,5,1000,1
Debbie Harry,Horror|Mystery|Sci-Fi|Thriller,7.3,391,1
Bruce Greenwood,Horror|Mystery|Sci-Fi|Thriller,5.5,989,1
Wilford Brimley,Horror|Mystery|Sci-Fi,8.2,957,1
Tom Atkins,Horror|Mystery|Sci-Fi,4.6,381,1
Jordana Brewster,Horror|Mystery|Sci-Fi,6.4,4000,1
Zach Gilford,Horror|Mystery,4,971,1
Thomas F. Wilson,Horror|Mystery,6.2,690,1
Paul Guilfoyle,Horror|Mystery,6.5,210,1
Omar Epps,Horror|Mystery,6.1,865,1
Naomi Watts,Horror|Mystery,5.4,6000,1
Muse Watson,Horror|Mystery,4.6,45000,1
Ming-Na Wen,Horror|Mystery,3.9,2000,1
Maika Monroe,Horror|Mystery,6.9,314,1
Linnea Quigley,Horror|Mystery,4.5,431,1
Kelly Rutherford,Horror|Mystery,5.5,287,1
Julie Benz,Horror|Mystery,5.8,3000,1
Julian Richings,Horror|Mystery,6.8,648,1
Julian Morris,Horror|Mystery,5.1,1000,1
Johnny Lewis,Horror|Mystery,3.9,741,1
Jason Flemyng,Horror|Mystery,6.2,1000,1
James Lafferty,Horror|Mystery,6.5,972,1
Emmanuelle Vaugier,Horror|Mystery,6.6,1000,1
Eileen Brennan,Horror|Mystery,6.1,1000,1
David Oakes,Horror|Mystery,5.6,335,1
David Arquette,Horror|Mystery,7.2,611,1
Danielle Kotch,Horror|Mystery,6.8,1000,1
Costas Mandylor,Horror|Mystery,5.925,2892,4
Christopher Lee,Horror|Mystery,6,16000,1
Chlo? Grace Moretz,Horror|Mystery,5.4,17000,1
Alison Brie,Horror|Mystery,6.2,2000,1
Alfre Woodard,Horror|Mystery,5.4,1000,1
Alexa PenaVega,Horror|Musical|Sci-Fi,6.7,2000,1
Paul Sorvino,Horror|Musical,7.4,636,1
Zack Ward,Horror,4,662,1
William McNamara,Horror,4.6,10000,1
Tony Nappo,Horror,6.2,654,1
Toby Jones,Horror,7.2,2000,1
Sprague Grayden,Horror,5.7,438,1
Sid Haig,Horror,6,1000,1
Shannon Elizabeth,Horror,5.5,1000,1
Seregon O'Dassey,Horror,4.2,498,1
Scout Taylor-Compton,Horror,4.9,1816,2
Robert Ri'chard,Horror,5.3,1460,2
Piero Maggi?,Horror,2.6,12,1
Patrick O'Donnell,Horror,6.7,10,1
Patrick Macnee,Horror,6.6,1000,1
Oliver Hudson,Horror,4.5,607,1
Nicki Aycox,Horror,5.6,296,1
Nichole Ceballos,Horror,5.4,5,1
Nia Long,Horror,6.2,826,1
Natasha Lyonne,Horror,6.3,1000,1
Michael Des Barres,Horror,4.5,156,1
Micah Sloat,Horror,6.3,189,1
Megan Park,Horror,5.7,569,1
Maureen McCormick,Horror,2.2,458,1
Matthew Alan,Horror,6.3,86,1
Matt Shively,Horror,4.6,235,1
Matt Bomer,Horror,5.9,20000,1
Marshal Hilton,Horror,4.3,471,1
Manuela Velasco,Horror,7.5,120,1
Mackenzie Gray,Horror,6.1,253,1
Luke Grimes,Horror,5.6,935,1
Lou Taylor Pucci,Horror,6.5,394,1
Linda Blair,Horror,3.7,931,1
Lily Rabe,Horror,4.7,763,1
Lena Olin,Horror,5.4,541,1
Lena Dunham,Horror,5.95,1938,2
Laura Ramsey,Horror,5.9,960,1
Kristen Quintrall,Horror,4.2,166,1
Krista Allen,Horror,5.2,164000,1
Kane Hodder,Horror,5.3,935,1
Julian Richings,Horror,5,648,1
Jonathan D. Mellor,Horror,6.6,37,1
Johnny Depp,Horror,7.5,80000,2
John Amos,Horror,6.1,982,1
Johanna Braddy,Horror,5.8,581,1
Jeff Kober,Horror,5.1,919,1
Jay Hernandez,Horror,5.65,2000,2
Javier Botet,Horror,7.3,1000,1
Isaiah Washington,Horror,5.5,534,1
Ian Ziering,Horror,3.3,984,1
Heather Donahue,Horror,6.4,170,1
Greg Nicotero,Horror,7.2,2000,2
Fernanda Andrade,Horror,4.2,403,1
Emma Bell,Horror,5.9,703,1
Ellen Burstyn,Horror,8,1000,1
Elissa Dowling,Horror,3.2,307,1
Dustin Ingram,Horror,3.7,427,1
Dichen Lachman,Horror,3.1,717,1
Danny Huston,Horror,6.6,430,1
Dan Byrd,Horror,6.4,1000,1
Chelan Simmons,Horror,5.8,440,1
C?cile De France,Horror,6.8,447,1
Catriona MacColl,Horror,6.9,48,1
Billy Burke,Horror,6.9,2000,1
Bernard Fox,Horror,4.1,246,1
Angelina Armani,Horror,5.2,677,1
Alan Brent,Horror,5.4,498,1
Emma Caulfield,History,7.5,970,1
Chris Harrison,Game-Show|Reality-TV|Romance,2.9,98,1
Norman Lloyd,Film-Noir|Mystery|Romance|Thriller,7.6,472,1
Konstantin Khabenskiy,Fantasy|Thriller,6.5,114,1
Johnny Depp,Fantasy|Romance,7.9,40000,1
Jennifer Jason Leigh,Fantasy|Romance,7.4,2000,2
Rachael Carpani,Fantasy|Mystery|Thriller,6.9,181,1
Tom Cruise,Fantasy|Mystery|Romance|Sci-Fi|Thriller,6.9,10000,1
Tuesday Knight,Fantasy|Horror|Thriller,5.7,130,1
Richard Cabral,Fantasy|Horror|Thriller,5,510,1
Lin Shaye,Fantasy|Horror|Thriller,6.35,1704,2
Kane Hodder,Fantasy|Horror|Thriller,4.3,935,1
Jeremy Davies,Fantasy|Horror|Thriller,7.1,769,1
Fionnula Flanagan,Fantasy|Horror|Thriller,7.6,482,1
