actor_1_name,genres,score,actor_1_facebook_likes,Num
Lesley Manville,Drama,7.6,149,1
Leonardo DiCaprio,Drama,6.7,29000,1
Lea Thompson,Drama,4.8,1000,1
Lambert Wilson,Drama,7.2,186,1
Kumar Gaurav,Drama,7.4,12,1
Krystyna Janda,Drama,9.1,40,2
Kristen Stewart,Drama,7.25,34000,2
Kimberly Williams-Paisley,Drama,6,529,1
Kim Shaw,Drama,6.2,934,1
Kevin Spacey,Drama,7.466666667,54000,3
Kevin Howarth,Drama,5.6,19,1
Kelly Macdonald,Drama,6.8,4000,2
Keith Carradine,Drama,5,584,1
Keanu Reeves,Drama,7.1,18000,1
Karl E. Landler,Drama,5.8,533,1
Justin Baldoni,Drama,5.3,657,1
Jurnee Smollett-Bell,Drama,7.3,2000,1
Julie Christie,Drama,7.8,1194,2
Julia Roberts,Drama,6.4,8000,1
Judy Marte,Drama,6.9,68,1
Joseph Gordon-Levitt,Drama,7.1,23000,1
John Robinson,Drama,7.1,375,1
John Beasley,Drama,7.2,205,1
Joe Mantegna,Drama,6.1,1000,1
Joanna Kulig,Drama,7.4,88,1
Joan Allen,Drama,7.9,1610,2
Jimmy Bennett,Drama,6.7,87000,1
Jim Meskimen,Drama,8.1,272,1
Jessica Tandy,Drama,7.5,509,1
Jeremy Renner,Drama,7.3,10000,1
Jeremy Irvine,Drama,4.5,25000,1
Jennifer Lawrence,Drama,6.8,102000,3
Jennifer Garner,Drama,6.8,3000,1
Jennifer Ehle,Drama,6.6,1000,1
Jean-Louis Trintignant,Drama,8.1,319,1
Jason Patric,Drama,7.4,673,1
Jan Haley,Drama,6.6,695,1
James Franco,Drama,6.3,11000,1
Jacinda Barrett,Drama,7.6,579,1
J.K. Simmons,Drama,6.9,24000,1
J.D. Williams,Drama,7.2,196,1
Iulia Ciochina,Drama,6.5,0,1
Irvin Kershner,Drama,7.6,883,1
Irene Bedard,Drama,6.5,752,1
Ian Tracey,Drama,5.3,144,1
Ian Somerhalder,Drama,7.5,16000,1
Holly Hunter,Drama,6.6,2000,2
Henry Thomas,Drama,5.9,861,1
Hector Kotsifakis,Drama,7.7,623,1
Hayden Christensen,Drama,4.6,4000,1
Harrison Ford,Drama,6.5,11000,1
Gabriel Millman,Drama,6.9,13000,1
Frank Langella,Drama,6.3,903,1
Fran?ois B?gaudeau,Drama,7.5,15,1
Frances Fisher,Drama,7.15,1276,2
Fernanda Montenegro,Drama,7.75,238,2
Fereshteh Sadre Orafaiy,Drama,7.5,5,1
F. Murray Abraham,Drama,7.3,670,1
Ethan Suplee,Drama,6.2,1000,1
Eric Dane,Drama,6.5,2000,1
Emma Stone,Drama,8.1,15000,1
Emily Watson,Drama,7.1,1752,2
Emily Rios,Drama,7.1,231,1
Embeth Davidtz,Drama,5.2,795,1
Ellen Burstyn,Drama,7.2,2000,2
Ellar Coltrane,Drama,8,230,1
Eddie Redmayne,Drama,5.9,13000,1
Donna Murphy,Drama,6.3,553,1
Don Cheadle,Drama,7.9,3000,1
Dominic Cooper,Drama,7.3,3000,1
Dianne Wiest,Drama,6.733333333,2901,3
DeRay Davis,Drama,3.3,328,1
Denzel Washington,Drama,7.7,18000,1
Denis Lavant,Drama,5.4,226,1
D?borah R?vy,Drama,5.6,34,1
Daniel London,Drama,6.7,52,1
Dan Futterman,Drama,7,254,1
Curtis Armstrong,Drama,7.5,876,1
Corbin Bernsen,Drama,5.7,1000,1
Colleen Dewhurst,Drama,7.6,157,1
Clive Russell,Drama,5.4,241,1
Clint Eastwood,Drama,8.2,16000,1
Christopher Lambert,Drama,7.5,1000,1
Christopher Abbott,Drama,4.9,321,1
Christo Jivkov,Drama,7.1,260,1
Charlotte Rampling,Drama,7.55,1688,2
Charla Cochran,Drama,7,270,1
Catherine Deneuve,Drama,6,963,1
Cara Delevingne,Drama,4.7,554,1
Bryce Dallas Howard,Drama,7.4,3000,1
Bruce McGill,Drama,6.6,655,1
Bruce Greenwood,Drama,7.7,990,1
Brian Dennehy,Drama,6.5,954,1
Brenda Vaccaro,Drama,7.9,183,1
Brad William Henke,Drama,6.6,363,1
Brad Pitt,Drama,8.15,22000,2
Bokeem Woodbine,Drama,7.1,904,1
Bobbie Phillips,Drama,4.6,16000,1
Bob Hoskins,Drama,7,5000,1
Billy Crudup,Drama,7,745,1
Bill Murray,Drama,6.9,13000,1
Beverly D'Angelo,Drama,6.2,816,1
Beno?t Magimel,Drama,6.6,173,1
Benjamin A. Onyango,Drama,3.4,634,1
Benedict Cumberbatch,Drama,7.3,19000,1
Ben Davies,Drama,7,690,1
Beau Bridges,Drama,6.7,552,1
Anamaria Marinca,Drama,7.9,131,1
Alison Lohman,Drama,7.2,1000,1
Alice Olivia Clarke,Drama,6.9,117,1
Alexa PenaVega,Drama,6.1,4000,2
Aidan Quinn,Drama,5.8,767,1
Adam Sandler,Drama,7.5,11000,1
Adam Baldwin,Drama,7.35,4000,2
Scott Helvenston,Documentary|War,7.7,25,1
Campbell Scott,Documentary|War,8.3,393,1
Ami Ayalon,Documentary|War,7.6,0,1
,Documentary|War,6.6,,1
Tony Alva,Documentary|Sport,7.7,22,1
Tommy Sheppard,Documentary|Sport,8.4,14,1
Pel?,Documentary|Sport,7.3,102,1
Mark Zupan,Documentary|Sport,7.8,15,1
Bill Murray,Documentary|Sport,7.5,13000,1
Alma Martinez,Documentary|News,7.1,56,1
Usher Raymond,Documentary|Music,1.6,569,1
Sheryl Crow,Documentary|Music,7.4,130,1
Ringo Starr,Documentary|Music,8.2,725,1
Misha Gabriel Hamilton,Documentary|Music,7.3,433,1
Lexie Contursi,Documentary|Music,5.9,28,1
Lea Michele,Documentary|Music,5.4,2000,1
Kevin Scott Richardson,Documentary|Music,7.1,262,1
Harry Styles,Documentary|Music,4.1,773,1
Collin Alfredo St. Dic,Documentary|Music,8.5,48,1
Bono,Documentary|Music,8.4,468,1
Gerry Lopez,Documentary|History|Sport,7.9,52,1
Matisyahu,Documentary|History|Music,7.5,178,1
Joe Cocker,Documentary|History|Music,8.1,262,1
John F. Kennedy,Documentary|History,8.1,168,1
Amos Oz,Documentary|History,7.2,3,1
Heather Berman,Documentary|Family|Music,7.5,0,1
,Documentary|Family,8.2,,1
Osama bin Laden,Documentary|Drama|War,7.5,503,1
William Gates,Documentary|Drama|Sport,8.3,7,1
Khalid Abdalla,Documentary|Drama|History|News,8.1,161,1
Pedro Armend?riz Jr.,Documentary|Drama,7.8,67,1
Michael Moore,Documentary|Drama,8,909,1
,Documentary|Drama,4.7,,1
Walter Koenig,Documentary,7,643,1
Vera Ngassa,Documentary,7.5,2,1
The Dalai Lama,Documentary,7.2,66,1
Temple Grandin,Documentary,7.4,58,1
Sam Adams,Documentary,7.8,0,1
Richard Curtis,Documentary,7.4,628,1
Rachel Dratch,Documentary,6.8,399,1
Norbert Ferrer,Documentary,6.9,55,1
Noam Chomsky,Documentary,8.3,206,2
Morgan Freeman,Documentary,7.6,11000,1
Michael Pollan,Documentary,7.9,37,1
Michael Moore,Documentary,6.4,1818,2
Marina Vlady,Documentary,7.4,27,1
Lisa Ann,Documentary,5.3,502,1
Lee Scott,Documentary,6.8,0,1
Laura Ramsey,Documentary,2.7,960,1
Larry David,Documentary,7.6,860,1
Ken Burns,Documentary,7.4,196,1
Karen Alexander,Documentary,7,0,1
Jonathan Blow,Documentary,7.7,0,1
John August,Documentary,6.6,86,1
Joe Cross,Documentary,7.6,65,1
Jane Goodall,Documentary,7,21,1
Jacques Perrin,Documentary,8,63,1
Greg Crowe,Documentary,6.4,875,1
G.W. Krauss,Documentary,6.8,20,1
Esai Morales,Documentary,8,699,1
Ed Begley Jr.,Documentary,7.7,783,1
Dustin Lance Black,Documentary,7.1,191,1
Doug Walker,Documentary,7.1,131,1
David Mamet,Documentary,7.1,342,1
Chris 'Wonder' Schoeck,Documentary,7.9,0,1
Carol Channing,Documentary,7.2,387,1
Carol Block,Documentary,7.5,0,1
Brendan Doogie Milewski,Documentary,7.5,2,1
Bob Proctor,Documentary,8.2,8,1
Billy West,Documentary,7.5,861,1
Bill Farmer,Documentary,5.1,93,1
Barack Obama,Documentary,5.1,871,1
Ariel Hsing,Documentary,7.1,0,1
Amy Bruni,Documentary,6.6,155,1
Aliou Tour?,Documentary,7.7,0,1
Alice Cooper,Documentary,7.4,674,1
Alfre Woodard,Documentary,7.4,1000,1
Abigail Evans,Documentary,8.7,0,1
,Documentary,7.05,,4
Mike Figueroa,Crime|Thriller|War,6.2,343,1
Sela Ward,Crime|Thriller,5.6,812,1
Rosario Dawson,Crime|Thriller,8.1,3000,1
Robert De Niro,Crime|Thriller,7.4,44000,2
Ray Winstone,Crime|Thriller,7.3,1000,1
Radha Mitchell,Crime|Thriller,7.1,991,1
Michael Imperioli,Crime|Thriller,6.7,873,1
Louis Lombardi,Crime|Thriller,6.7,436,1
Lili Taylor,Crime|Thriller,6.6,960,1
Leslie Bibb,Crime|Thriller,5.6,1000,1
Lee Marvin,Crime|Thriller,7.4,756,1
Justin Timberlake,Crime|Thriller,5.6,3000,1
Jimmy Bennett,Crime|Thriller,5.8,87000,1
Glenn Plummer,Crime|Thriller,6.4,240,1
Brad Pitt,Crime|Thriller,6.8,33000,3
Al Pacino,Crime|Thriller,6.9,14000,1
Mathieu Amalric,Crime|Romance|Thriller,6.3,412,1
Mark Margolis,Crime|Romance|Thriller,6.8,1000,1
Viggo Mortensen,Crime|Mystery|Thriller,7.7,10000,1
Steve Buscemi,Crime|Mystery|Thriller,5.5,12000,1
Ryan Gosling,Crime|Mystery|Thriller,6.1,66000,2
Robin Williams,Crime|Mystery|Thriller,5.9,49000,1
Ray Winstone,Crime|Mystery|Thriller,3.1,1000,1
Pam Ferris,Crime|Mystery|Thriller,6.4,771,1
Nicolas Cage,Crime|Mystery|Thriller,5.9,12000,1
Morgan Freeman,Crime|Mystery|Thriller,7.3,11000,1
Jim Carter,Crime|Mystery|Thriller,6.1,439,1
Hayden Christensen,Crime|Mystery|Thriller,6.5,4000,1
Gregory Scott Cummins,Crime|Mystery|Thriller,6.4,37,1
Curtiss Cook,Crime|Mystery|Thriller,6.4,591,1
Charlotte Rampling,Crime|Mystery|Thriller,4.2,844,1
Bruce Greenwood,Crime|Mystery|Thriller,6.4,984,1
Tony Goldwyn,Crime|Horror|Thriller,6.6,1912,2
Natascha McElhone,Crime|Horror|Thriller,3.3,2000,1
MyAnna Buring,Crime|Horror|Thriller,6.3,513,1
Liv Ullmann,Crime|Horror|Thriller,6.8,440,1
John de Lancie,Crime|Horror|Thriller,6,905,1
Sylvester Stallone,Crime|Horror|Mystery|Thriller,5.3,13000,1
R. Brandon Johnson,Crime|Horror|Mystery|Thriller,5.1,169,1
LL Cool J,Crime|Horror|Mystery|Thriller,6.4,1000,1
K?ji Yakusho,Crime|Horror|Mystery|Thriller,7.4,89,1
Keanu Reeves,Crime|Horror|Mystery|Thriller,5.3,18000,1
Alia Shawkat,Crime|Horror|Music|Thriller,7.1,727,1
Sid Haig,Crime|Horror,6.9,1000,1
Joseph Cotten,Crime|Film-Noir|Thriller,7.1,469,1
Quentin Tarantino,Crime|Fantasy|Horror,7.3,16000,1
Viggo Mortensen,Crime|Drama|Western,6.8,10000,1
Ray Winstone,Crime|Drama|Western,7.4,1000,1
Zack Ward,Crime|Drama|Thriller,7.5,662,1
Violante Placido,Crime|Drama|Thriller,6.3,978,1
Vin Diesel,Crime|Drama|Thriller,6.55,28000,2
Viggo Mortensen,Crime|Drama|Thriller,6.8,20000,2
Tom Hardy,Crime|Drama|Thriller,6.9,54000,2
Tom Hanks,Crime|Drama|Thriller,7.7,15000,1
Tom Cruise,Crime|Drama|Thriller,7.6,10000,1
Tjasa Ferme,Crime|Drama|Thriller,4.8,313,1
Teri Polo,Crime|Drama|Thriller,5.5,708,1
Steven Bauer,Crime|Drama|Thriller,6,636,1
Sophie Okonedo,Crime|Drama|Thriller,7.4,460,1
Sam Riley,Crime|Drama|Thriller,5.7,845,1
Ryan Gosling,Crime|Drama|Thriller,7.3,33000,1
Robert Duvall,Crime|Drama|Thriller,6.9,3000,1
Robert De Niro,Crime|Drama|Thriller,7.275,88000,4
Ricardo Dar?n,Crime|Drama|Thriller,7.9,827,1
Rex Baker,Crime|Drama|Thriller,5.8,15000,1
Quentin Tarantino,Crime|Drama|Thriller,8.4,16000,1
Philip Seymour Hoffman,Crime|Drama|Thriller,7.125,88000,4
Paul Daniel Ayotte,Crime|Drama|Thriller,6.7,111,1
Paddy Considine,Crime|Drama|Thriller,7.7,680,1
Orlando Bloom,Crime|Drama|Thriller,6.7,5000,1
Omar Epps,Crime|Drama|Thriller,7.2,865,1
?lafur Darri ?lafsson,Crime|Drama|Thriller,8.2,147,1
Odessa Rae,Crime|Drama|Thriller,7.1,109,1
Noah Emmerich,Crime|Drama|Thriller,7,617,1
Nicole Randall Johnson,Crime|Drama|Thriller,6.2,363,1
Nicolas Cage,Crime|Drama|Thriller,7.6,12000,1
Morgan Freeman,Crime|Drama|Thriller,6.3,11000,1
Monica Calhoun,Crime|Drama|Thriller,5.3,597,1
Mila Kunis,Crime|Drama|Thriller,6.5,15000,1
Michael O'Neill,Crime|Drama|Thriller,7.6,599,1
Michael Fassbender,Crime|Drama|Thriller,5.3,13000,1
Michael Biehn,Crime|Drama|Thriller,5.1,2000,1
Mia Kirshner,Crime|Drama|Thriller,6.2,972,1
Mehcad Brooks,Crime|Drama|Thriller,4.9,696,1
Matthew McConaughey,Crime|Drama|Thriller,7.3,22000,2
Matt Damon,Crime|Drama|Thriller,7.1,13000,1
Maria Pia Calzone,Crime|Drama|Thriller,8.7,18,1
Lorraine Stanley,Crime|Drama|Thriller,7,418,1
LL Cool J,Crime|Drama|Thriller,6.1,1000,1
Liam Aiken,Crime|Drama|Thriller,6.1,818,1
Li Gong,Crime|Drama|Thriller,6.2,879,1
Leonardo DiCaprio,Crime|Drama|Thriller,8.5,29000,1
Kristen Stewart,Crime|Drama|Thriller,6.8,17000,1
Kirsten Dunst,Crime|Drama|Thriller,9,4000,1
Kirk Fox,Crime|Drama|Thriller,6,109,1
Kevin Spacey,Crime|Drama|Thriller,7.233333333,54000,3
Kelly Macdonald,Crime|Drama|Thriller,8.1,2000,1
Julia Roberts,Crime|Drama|Thriller,6.7,8000,1
Jordana Spiro,Crime|Drama|Thriller,6.1,262,1
John Cassavetes,Crime|Drama|Thriller,6.2,917,1
John Amos,Crime|Drama|Thriller,5.5,982,1
Joe Mantegna,Crime|Drama|Thriller,6.1,1000,1
Jeremy Renner,Crime|Drama|Thriller,7.6,10000,1
Jennifer Ehle,Crime|Drama|Thriller,6.7,1000,1
Jeff Bridges,Crime|Drama|Thriller,7.2,12000,1
Jay Hernandez,Crime|Drama|Thriller,6.1,1000,1
Jake Gyllenhaal,Crime|Drama|Thriller,7.8,30000,2
Jada Pinkett Smith,Crime|Drama|Thriller,7.5,851,1
Harold Perrineau,Crime|Drama|Thriller,6.1,1000,1
Gerard Butler,Crime|Drama|Thriller,7.05,36000,2
George Kennedy,Crime|Drama|Thriller,6,6000,2
Gary Cole,Crime|Drama|Thriller,7.5,989,1
Essence Atkins,Crime|Drama|Thriller,3.5,713,1
Eric Stoltz,Crime|Drama|Thriller,6.5,902,1
Don Cheadle,Crime|Drama|Thriller,7.5,9000,3
Devin Ratray,Crime|Drama|Thriller,7.1,1000,1
Denzel Washington,Crime|Drama|Thriller,7.35,36000,2
Demi?n Bichir,Crime|Drama|Thriller,6.5,749,1
David Oyelowo,Crime|Drama|Thriller,5.3,1000,1
Colin Salmon,Crime|Drama|Thriller,6.4,766,1
Christian Bale,Crime|Drama|Thriller,6.8,23000,1
Charlie Hunnam,Crime|Drama|Thriller,6.3,16000,1
Channing Tatum,Crime|Drama|Thriller,6.433333333,51000,3
Brian Dennehy,Crime|Drama|Thriller,6.4,954,1
Billy Burke,Crime|Drama|Thriller,6.2,2000,1
Bill Cobbs,Crime|Drama|Thriller,5.6,970,1
Austin Nichols,Crime|Drama|Thriller,5.1,663,1
Alona Tal,Crime|Drama|Thriller,6.2,1000,1
Aksel Hennie,Crime|Drama|Thriller,7.6,286,1
Leon Isaac Kennedy,Crime|Drama|Sport,5.8,116,1
Dwayne Johnson,Crime|Drama|Sport,6.9,12000,1
Colin Salmon,Crime|Drama|Sci-Fi|Thriller,7.9,766,1
Robert De Niro,Crime|Drama|Romance|Thriller,7.4,22000,1
Phil Davis,Crime|Drama|Romance|Thriller,7.4,386,1
Olivia Wilde,Crime|Drama|Romance|Thriller,7.4,10000,1
Mo'Nique,Crime|Drama|Romance|Thriller,6.4,939,1
Mira Sorvino,Crime|Drama|Romance|Thriller,6.6,978,1
Matthew McConaughey,Crime|Drama|Romance|Thriller,6.7,11000,1
Khandi Alexander,Crime|Drama|Romance|Thriller,6.6,556,1
Josh Hutcherson,Crime|Drama|Romance|Thriller,6.6,14000,1
Jim Broadbent,Crime|Drama|Romance|Thriller,7.3,1000,1
Jason Statham,Crime|Drama|Romance|Thriller,7.3,26000,1
Harrison Ford,Crime|Drama|Romance|Thriller,7.4,11000,1
Don Cheadle,Crime|Drama|Romance|Thriller,7,3000,1
Denzel Washington,Crime|Drama|Romance|Thriller,6.5,18000,1
Christopher Meloni,Crime|Drama|Romance|Thriller,7.4,3000,1
Charlize Theron,Crime|Drama|Romance|Thriller,6.4,9000,1
Anjelica Huston,Crime|Drama|Romance|Thriller,6.6,1000,1
Zachary Knighton,Crime|Drama|Romance,7.2,262,1
Patrick Renna,Crime|Drama|Romance,5.2,590,1
Parry Shen,Crime|Drama|Romance,7.2,94,1
Marlon Brando,Crime|Drama|Romance,8.2,10000,1
Louise Brooks,Crime|Drama|Romance,8,426,1
Kenny Johnston,Crime|Drama|Romance,6.8,327,1
Jean-Paul Belmondo,Crime|Drama|Romance,7.7,710,1
James Mason,Crime|Drama|Romance,7.7,1235,2
Edie Falco,Crime|Drama|Romance,6.5,659,1
David Richmond-Peck,Crime|Drama|Romance,6.3,60,1
Danny Aiello,Crime|Drama|Romance,7.3,388,1
Catherine Deneuve,Crime|Drama|Romance,7.2,963,1
Craig Stark,Crime|Drama|Mystery|Thriller|Western,7.9,46000,1
William McNamara,Crime|Drama|Mystery|Thriller,6.6,10000,1
Tom Wilkinson,Crime|Drama|Mystery|Thriller,7.3,1000,1
Thomas Kretschmann,Crime|Drama|Mystery|Thriller,6.7,918,1
Scarlett Johansson,Crime|Drama|Mystery|Thriller,5.6,19000,1
Ruth Wilson,Crime|Drama|Mystery|Thriller,8.6,2000,1
Rosario Dawson,Crime|Drama|Mystery|Thriller,7,6000,2
Robin Wright,Crime|Drama|Mystery|Thriller,7.45,36000,2
Robert De Niro,Crime|Drama|Mystery|Thriller,6.2,22000,1
Ray Winstone,Crime|Drama|Mystery|Thriller,6.7,1000,1
Philippe Nahon,Crime|Drama|Mystery|Thriller,7.4,56,1
Peter Fonda,Crime|Drama|Mystery|Thriller,7.1,402,1
Peter Coyote,Crime|Drama|Mystery|Thriller,6.3,548,1
Patrick Fugit,Crime|Drama|Mystery|Thriller,8.1,835,1
Oliver Platt,Crime|Drama|Mystery|Thriller,6.3,1000,1
Nicolas Cage,Crime|Drama|Mystery|Thriller,6.4,12000,1
Natalie Zea,Crime|Drama|Mystery|Thriller,7.5,841,1
Morgan Freeman,Crime|Drama|Mystery|Thriller,7.166666667,33000,3
Liam Neeson,Crime|Drama|Mystery|Thriller,6.5,14000,1
LeVar Burton,Crime|Drama|Mystery|Thriller,7.5,1000,1
Kevin Spacey,Crime|Drama|Mystery|Thriller,7.833333333,54000,3
Julia Roberts,Crime|Drama|Mystery|Thriller,6.2,8000,1
John Howard,Crime|Drama|Mystery|Thriller,6.4,172,1
John Doman,Crime|Drama|Mystery|Thriller,8,616,1
Jason Patric,Crime|Drama|Mystery|Thriller,7.2,673,1
James Franco,Crime|Drama|Mystery|Thriller,7.2,11000,1
J.K. Simmons,Crime|Drama|Mystery|Thriller,6.1,24000,1
Hugh Jackman,Crime|Drama|Mystery|Thriller,8.1,20000,1
Harry Lennix,Crime|Drama|Mystery|Thriller,5.9,748,1
Emma Watson,Crime|Drama|Mystery|Thriller,5.7,9000,1
Denzel Washington,Crime|Drama|Mystery|Thriller,6.933333333,54000,3
Dennis Quaid,Crime|Drama|Mystery|Thriller,6.6,2000,1
Costas Mandylor,Crime|Drama|Mystery|Thriller,6.8,723,1
Colin Firth,Crime|Drama|Mystery|Thriller,6.5,14000,1
Chris Noth,Crime|Drama|Mystery|Thriller,5.8,962,1
Charlotte Rampling,Crime|Drama|Mystery|Thriller,6.8,844,1
Bruce Willis,Crime|Drama|Mystery|Thriller,7.8,26000,2
Bradley Whitford,Crime|Drama|Mystery|Thriller,6.7,821,1
Bojana Novakovic,Crime|Drama|Mystery|Thriller,6.6,2000,1
Bill Murray,Crime|Drama|Mystery|Thriller,6.5,13000,1
Angelina Jolie Pitt,Crime|Drama|Mystery|Thriller,7.8,11000,1
Andrew Garfield,Crime|Drama|Mystery|Thriller,7.1,10000,1
Alice Krige,Crime|Drama|Mystery|Thriller,6.1,368,1
Alexis Dziena,Crime|Drama|Mystery|Thriller,6.6,715,1
Al Pacino,Crime|Drama|Mystery|Thriller,6.35,28000,2
Adam Goldberg,Crime|Drama|Mystery|Thriller,7.2,1000,1
Dennis Quaid,Crime|Drama|Mystery|Sci-Fi|Thriller,7.3,2000,1
Ryan Gosling,Crime|Drama|Mystery|Romance|Thriller,6.3,33000,1
Jim Sturgess,Crime|Drama|Mystery|Romance,7.8,5000,1
Wilford Brimley,Crime|Drama|Mystery,7.2,957,1
Kevin Spacey,Crime|Drama|Mystery,7.8,18000,1
Jason Flemyng,Crime|Drama|Mystery,8.1,1000,1
Jan Decleir,Crime|Drama|Mystery,7.8,25,1
James Franco,Crime|Drama|Mystery,6.7,11000,1
Francis Capra,Crime|Drama|Mystery,8.4,937,1
David Jason,Crime|Drama|Mystery,7.8,325,1
Carroll O'Connor,Crime|Drama|Mystery,7.4,480,1
Al Pacino,Crime|Drama|Mystery,5.5,14000,1
Adam Arkin,Crime|Drama|Mystery,8.3,374,1
Rita Moreno,Crime|Drama|Musical|Romance|Thriller,7.6,804,1
Cicely Tyson,Crime|Drama|Musical|Romance,6.2,907,1
Catherine Deneuve,Crime|Drama|Musical,8,963,1
Steve Buscemi,Crime|Drama|Music|Thriller,6.3,12000,1
Channing Tatum,Crime|Drama|Music|Romance,6.5,17000,1
Colm Feore,Crime|Drama|Music|Mystery|Thriller,6,539,1
Nicolas Cage,Crime|Drama|Music,6.5,12000,1
Isaac Hayes,Crime|Drama|Music,7.4,275,1
Viggo Mortensen,Crime|Drama|Horror|Thriller,5.9,10000,1
Rufus Sewell,Crime|Drama|Horror|Thriller,5.1,3000,1
Naomi Watts,Crime|Drama|Horror|Thriller,6.5,6000,1
Julian Morris,Crime|Drama|Horror|Thriller,5.2,1000,1
Anthony Hopkins,Crime|Drama|Horror|Thriller,8.6,12000,1
Daniel Baldwin,Crime|Drama|Horror|Mystery|Thriller,5.5,413,1
Caroline Dhavernas,Crime|Drama|Horror|Mystery|Thriller,8.6,544,1
Bex Taylor-Klaus,Crime|Drama|Horror|Mystery|Thriller,7.3,460,1
Richard Tyson,Crime|Drama|Horror,3.4,743,1
Indira Varma,Crime|Drama|History|Romance,6,729,1
Robert Downey Jr.,Crime|Drama|History|Mystery|Thriller,7.7,21000,1
Robin Wright,Crime|Drama|History,7,18000,1
Rita Hayworth,Crime|Drama|Film-Noir|Mystery|Thriller,7.7,1000,1
Humphrey Bogart,Crime|Drama|Film-Noir,7.2,2000,1
Estella Warren,Crime|Drama|Fantasy|Romance,7,658,1
Tom Hanks,Crime|Drama|Fantasy|Mystery,8.5,15000,1
Michael Smiley,Crime|Drama|Fantasy,7.5,177,1
William Kircher,Crime|Drama,7.3,109,1
Vincent Pastore,Crime|Drama,5.4,584,1
Tom Wilkinson,Crime|Drama,7.5,1000,1
Tom Cruise,Crime|Drama,7.2,10000,1
Terry Pheto,Crime|Drama,7.3,113,1
Steve Buscemi,Crime|Drama,6.8,12000,1
Stephen Graham,Crime|Drama,7.7,1000,1
Stephen Carr,Crime|Drama,4.8,2,1
Stacy Keach,Crime|Drama,4.5,602,1
Simon Merrells,Crime|Drama,5,490,1
Shirley Henderson,Crime|Drama,8.5,887,1
Sheldon Leonard,Crime|Drama,7.1,142,1
Shahir Kabaha,Crime|Drama,7.4,20,1
Ryan Gosling,Crime|Drama,6.75,66000,2
Rory Culkin,Crime|Drama,7.3,710,1
Robert Duvall,Crime|Drama,8.4,3000,1
Robert Downey Jr.,Crime|Drama,7.4,21000,1
Robert De Niro,Crime|Drama,8.566666667,66000,3
Richard Jewell,Crime|Drama,7.8,45,1
Riccardo Scamarcio,Crime|Drama,7.3,580,1
Peter Greene,Crime|Drama,6.4,789,1
Oksana Akinshina,Crime|Drama,7.9,129,1
Nicolas Cage,Crime|Drama,6.7,12000,1
Nicholas Gonzalez,Crime|Drama,6.3,601,1
Moritz Bleibtreu,Crime|Drama,7.8,486,1
Morgan Freeman,Crime|Drama,9.3,11000,1
Min-sik Choi,Crime|Drama,7.7,717,1
Michael Derek,Crime|Drama,7.2,128,1
Matt Damon,Crime|Drama,7.4,13000,1
Manny Perez,Crime|Drama,6.9,159,1
Lois Smith,Crime|Drama,7.6,276,1
Leonardo DiCaprio,Crime|Drama,7.5,29000,1
Lawrence Gilliard Jr.,Crime|Drama,5.9,353,1
Keanu Reeves,Crime|Drama,7.1,18000,1
John Cothran,Crime|Drama,7.8,27,1
Jerry Ferrara,Crime|Drama,6.4,480,1
Jennifer Lawrence,Crime|Drama,7.3,34000,1
James Franco,Crime|Drama,5.3,11000,1
Jake Gyllenhaal,Crime|Drama,6.3,15000,1
Jack Warden,Crime|Drama,8.9,359,1
Isabella Rossellini,Crime|Drama,6.6,812,1
Ian McNeice,Crime|Drama,6.9,268,1
Hal Holbrook,Crime|Drama,7.4,826,1
Ethan Suplee,Crime|Drama,8.6,1000,1
Eddie Marsan,Crime|Drama,7.7,979,1
Dorian Missick,Crime|Drama,8.1,1000,1
Delroy Lindo,Crime|Drama,8,848,1
Dana Delany,Crime|Drama,6.8,722,1
Dan Fogler,Crime|Drama,7.7,562,1
Christian Bale,Crime|Drama,7.6,23000,1
Charlie McDermott,Crime|Drama,7.2,496,1
Catalina Sandino Moreno,Crime|Drama,7.5,280,1
Bruce Willis,Crime|Drama,8.9,13000,1
Bill Cobbs,Crime|Drama,7.2,970,1
Bernard Hill,Crime|Drama,7.9,416,1
Alice Braga,Crime|Drama,8.7,1000,1
Al Pacino,Crime|Drama,8.366666667,42000,3
Adam LeFevre,Crime|Drama,7.2,80,1
Jeffrey Frost,Crime|Documentary|War,7.5,6,1
Alex Gibney,Crime|Documentary|War,7.7,141,1
Ronald Reagan,Crime|Documentary|News,7.4,1000,1
Michael Moore,Crime|Documentary|Drama,8,909,1
Matt Damon,Crime|Documentary,8.3,13000,1
Darryl Hunt,Crime|Documentary,7.7,2,1
Will Ferrell,Comedy|Western,5.5,8000,1
Taylor Lautner,Comedy|Western,4.9,12000,1
Madeline Kahn,Comedy|Western,7.8,1000,1
Liam Neeson,Comedy|Western,6.1,14000,1
Tim Conway,Comedy|War,7.5,870,1
Kevin Spacey,Comedy|War,6.2,18000,1
Eileen Brennan,Comedy|War,6.1,1000,1
Ed Lauter,Comedy|Thriller,6.8,897,1
Will Ferrell,Comedy|Sport,6.05,16000,2
Robert De Niro,Comedy|Sport,6.4,22000,1
Oliver Platt,Comedy|Sport,5.3,1000,1
Lee Majors,Comedy|Sport,6.3,799,1
Kirsten Dunst,Comedy|Sport,5.9,4000,1
Keanu Reeves,Comedy|Sport,6.5,18000,1
Joe Lo Truglio,Comedy|Sport,6,833,1
